Date,Open,High,Low,Close,Volume,Adj Close
2010-06-29,19.0,25.0,17.540001,23.889999,18766300,23.889999
2010-06-30,25.790001,30.42,23.299999,23.83,17187100,23.83
2010-07-01,25.0,25.92,20.27,21.959999,8218800,21.959999
2010-07-02,23.0,23.1,18.709999,19.200001,5139800,19.200001
2010-07-06,20.0,20.0,15.83,16.110001,6866900,16.110001
2010-07-07,16.4,16.629998999999998,14.98,15.8,6921700,15.8
2010-07-08,16.139999,17.52,15.57,17.459999,7711400,17.459999
2010-07-09,17.58,17.9,16.549999,17.4,4050600,17.4
2010-07-12,17.950001,18.07,17.0,17.049999,2202500,17.049999
2010-07-13,17.389999,18.639999,16.9,18.139999,2680100,18.139999
2010-07-14,17.940001000000002,20.15,17.76,19.84,4195200,19.84
2010-07-15,19.940001000000002,21.5,19.0,19.889999,3739800,19.889999
2010-07-16,20.700001,21.299999,20.049999,20.639999,2621300,20.639999
2010-07-19,21.370001000000002,22.25,20.92,21.91,2486500,21.91
2010-07-20,21.85,21.85,20.049999,20.299999,1825300,20.299999
2010-07-21,20.66,20.9,19.5,20.219998999999998,1252500,20.219998999999998
2010-07-22,20.5,21.25,20.370001000000002,21.0,957800,21.0
2010-07-23,21.190001000000002,21.559998999999998,21.059998999999998,21.290001,653600,21.290001
2010-07-26,21.5,21.5,20.299999,20.950001,922200,20.950001
2010-07-27,20.91,21.18,20.26,20.549999,619700,20.549999
2010-07-28,20.549999,20.9,20.51,20.719998999999998,467200,20.719998999999998
2010-07-29,20.77,20.879998999999998,20.0,20.35,616000,20.35
2010-07-30,20.200001,20.440001000000002,19.549999,19.940001000000002,426900,19.940001000000002
2010-08-02,20.5,20.969998999999998,20.33,20.92,718100,20.92
2010-08-03,21.0,21.950001,20.82,21.950001,1230500,21.950001
2010-08-04,21.950001,22.18,20.85,21.26,913000,21.26
2010-08-05,21.540001,21.549999,20.049999,20.450001,796200,20.450001
2010-08-06,20.1,20.16,19.52,19.59,741900,19.59
2010-08-09,19.9,19.98,19.450001,19.6,812700,19.6
2010-08-10,19.65,19.65,18.82,19.030001000000002,1281300,19.030001000000002
2010-08-11,18.690001000000002,18.879998999999998,17.85,17.9,797600,17.9
2010-08-12,17.799999,17.9,17.389999,17.6,691000,17.6
2010-08-13,18.18,18.450001,17.66,18.32,634000,18.32
2010-08-16,18.450001,18.799999,18.26,18.780001000000002,485800,18.780001000000002
2010-08-17,18.959999,19.4,18.780001000000002,19.15,447900,19.15
2010-08-18,19.59,19.59,18.6,18.77,601300,18.77
2010-08-19,18.540001,19.25,18.33,18.790001,579100,18.790001
2010-08-20,18.65,19.110001,18.51,19.1,296000,19.1
2010-08-23,19.09,20.389999,19.0,20.129998999999998,1088100,20.129998999999998
2010-08-24,19.25,19.709999,18.950001,19.200001,673100,19.200001
2010-08-25,19.16,19.98,18.559998999999998,19.9,503300,19.9
2010-08-26,19.889999,20.27,19.6,19.75,433800,19.75
2010-08-27,19.75,19.870001000000002,19.5,19.700001,379600,19.700001
2010-08-30,19.700001,20.190001000000002,19.610001,19.870001000000002,732800,19.870001000000002
2010-08-31,19.66,19.790001,19.33,19.48,201100,19.48
2010-09-01,19.620001000000002,20.690001000000002,19.6,20.450001,494900,20.450001
2010-09-02,20.370001000000002,21.24,20.309998999999998,21.059998999999998,487100,21.059998999999998
